日期,标题,链接,浏览次数
2019-08-01,“A.I.+教育 跨界融合与创新发展”2019人工智能与教育大数据峰会在京开幕,http://news.bnu.edu.cn/zx/ttgz/110963.htm,2980
2019-07-30,中宣部副部长慎海雄赴首都文化创新与文化传播工程研究院调研,http://news.bnu.edu.cn/zx/ttgz/110948.htm,3675
2019-07-27,董奇一行看望广西、四川校友代表,http://news.bnu.edu.cn/zx/ttgz/110927.htm,1266
2019-07-27,北师大张琦教授参加全国政协第26次双周协商座谈会建言献策,http://news.bnu.edu.cn/zx/ttgz/110929.htm,1386
2019-07-25,北师大第二次青藏高原综合科学考察研究出征仪式在京举行,http://news.bnu.edu.cn/zx/ttgz/110910.htm,2490
2019-07-25,北京师范大学与成都市人民政府签署战略合作框架协议,http://news.bnu.edu.cn/zx/ttgz/110906.htm,1820
2019-07-24,北京师范大学与广西壮族自治区人民政府签署教育合作协议,http://news.bnu.edu.cn/zx/ttgz/110904.htm,1022
2019-07-23,北京师范大学、东方电气集团教育帮扶凉山州昭觉县,http://news.bnu.edu.cn/zx/ttgz/110872.htm,629
2019-07-22,【光明日报】程建平：不忘初心，牢记使命 坚定不移做好立德树人工作,http://news.bnu.edu.cn/zx/ttgz/110860.htm,979
2019-07-22,光明日报推出北师大优秀毕业生群体系列报道之三——时代楷模就在我们身边,http://news.bnu.edu.cn/zx/ttgz/110859.htm,1053
